timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
"2024-09-10T00:00:00.000Z","2024-09-10T23:59:59.999Z","2024-09-10T18:46:00.000Z","2024-09-10T04:40:00.000Z","2781",4.0164894188,4.0756406207,3.9423768705,4.0401986618,151488396.07,4540845143.39,"2024-09-10T23:59:59.999Z"
"2024-09-09T00:00:00.000Z","2024-09-09T23:59:59.999Z","2024-09-09T21:17:00.000Z","2024-09-09T00:00:00.000Z","2781",3.7507839377,4.0778157423,3.7507839377,4.0164894188,216893421.19,4512775069.18,"2024-09-09T23:59:59.999Z"
"2024-09-08T00:00:00.000Z","2024-09-08T23:59:59.999Z","2024-09-08T22:31:00.000Z","2024-09-08T00:48:00.000Z","2781",3.6636895344,3.8099832269,3.6500540415,3.7507839377,140147215.27,4212969206.08,"2024-09-08T23:59:59.999Z"
"2024-09-07T00:00:00.000Z","2024-09-07T23:59:59.999Z","2024-09-07T17:02:00.000Z","2024-09-07T00:00:00.000Z","2781",3.5458947789,3.7443951827,3.5458947789,3.6636895344,127649057.29,4113900791.8,"2024-09-07T23:59:59.999Z"
"2024-09-06T00:00:00.000Z","2024-09-06T23:59:59.999Z","2024-09-06T13:01:00.000Z","2024-09-06T21:04:00.000Z","2781",3.7074046324,3.8039767645,3.4419976369,3.5458947789,233381244.5,3980758233.35,"2024-09-06T23:59:59.999Z"
"2024-09-05T00:00:00.000Z","2024-09-05T23:59:59.999Z","2024-09-05T00:31:00.000Z","2024-09-05T22:25:00.000Z","2781",3.8861528722,3.9210487348,3.6975572982,3.7074046324,149772373.97,4160780271.64,"2024-09-05T23:59:59.999Z"
"2024-09-04T00:00:00.000Z","2024-09-04T23:59:59.999Z","2024-09-04T16:35:00.000Z","2024-09-04T01:06:00.000Z","2781",3.7241248794,3.9364876458,3.5938549163,3.8861528722,205323266.03,4360059122.62,"2024-09-04T23:59:59.999Z"
"2024-09-03T00:00:00.000Z","2024-09-03T23:59:59.999Z","2024-09-03T02:19:00.000Z","2024-09-03T16:14:00.000Z","2781",3.9907993,4.0709559848,3.7186687447,3.7241248794,187694802.55,4177356575.16,"2024-09-03T23:59:59.999Z"
"2024-09-02T00:00:00.000Z","2024-09-02T23:59:59.999Z","2024-09-02T21:06:00.000Z","2024-09-02T00:11:00.000Z","2781",3.8516187688,4.0214043937,3.8419023453,3.9907993,187636526.12,4475249075.67,"2024-09-02T23:59:59.999Z"
"2024-09-01T00:00:00.000Z","2024-09-01T23:59:59.999Z","2024-09-01T20:08:00.000Z","2024-09-01T23:16:00.000Z","2781",4.0350164963,4.0696157939,3.8272523288,3.8516187688,162617536.73,4317868937.42,"2024-09-01T23:59:59.999Z"
"2024-08-31T00:00:00.000Z","2024-08-31T23:59:59.999Z","2024-08-31T04:35:00.000Z","2024-08-31T17:52:00.000Z","2781",4.1167557472,4.1589366696,3.9833859795,4.0350164963,124318147.56,4522348938.47,"2024-08-31T23:59:59.999Z"
"2024-08-30T00:00:00.000Z","2024-08-30T23:59:59.999Z","2024-08-30T09:56:00.000Z","2024-08-30T16:28:00.000Z","2781",4.2168095381,4.3038205729,3.9524379082,4.1167557472,212264843.17,4612933027.76,"2024-08-30T23:59:59.999Z"
"2024-08-29T00:00:00.000Z","2024-08-29T23:59:59.999Z","2024-08-29T14:49:00.000Z","2024-08-29T22:11:00.000Z","2781",4.3453954264,4.5394248247,4.1399193635,4.2167895381,208639458,4723594454.17,"2024-08-29T23:59:59.999Z"
"2024-08-28T00:00:00.000Z","2024-08-28T23:59:59.999Z","2024-08-28T04:26:00.000Z","2024-08-28T16:37:00.000Z","2781",4.5303255561,4.5990962185,4.2348519082,4.3453954264,302833967.42,4866534628.31,"2024-08-28T23:59:59.999Z"
"2024-08-27T00:00:00.000Z","2024-08-27T23:59:59.999Z","2024-08-27T06:16:00.000Z","2024-08-27T22:37:00.000Z","2781",4.7829181007,5.0075408739,4.4484871268,4.5303255561,300524768.69,5072437663,"2024-08-27T23:59:59.999Z"
