time,open,high,low,close,volume,trades
2022-06-16T00:00:00.000Z,3.47,4.95,2.501,3.485,1541.34485314,161
2022-06-17T00:00:00.000Z,4.474,4.474,2.65,3.476,7353.78144805,168
2022-06-18T00:00:00.000Z,3.476,4.278,2.75,3.126,12359.86513732,356
2022-06-19T00:00:00.000Z,3.119,4.837,2.942,3.28,17282.60086941,299
2022-06-20T00:00:00.000Z,3.28,4.0,3.133,3.365,14314.49386024,270
2022-06-21T00:00:00.000Z,3.503,3.799,3.423,3.479,18659.24474699,239
2022-06-22T00:00:00.000Z,3.423,3.8,3.273,3.316,7475.41345969,178
2022-06-23T00:00:00.000Z,3.469,4.293,3.367,3.579,28054.08061029,152
2022-06-24T00:00:00.000Z,3.558,4.28,3.546,4.058,41195.59086342,275
2022-06-25T00:00:00.000Z,3.991,4.41,3.97,4.229,48403.17725656,308
2022-06-26T00:00:00.000Z,4.169,4.354,3.81,3.821,31663.65092679,237
2022-06-27T00:00:00.000Z,3.791,5.167,3.66,3.701,27580.11715271,241
2022-06-28T00:00:00.000Z,3.742,3.995,3.397,3.43,32153.94207661,210
2022-06-29T00:00:00.000Z,3.413,4.05,3.344,3.427,13323.09768237,155
2022-06-30T00:00:00.000Z,3.416,3.74,3.13,3.36,22561.01639723,385
2022-07-01T00:00:00.000Z,3.306,3.699,3.252,3.399,18898.37513835,183
2022-07-02T00:00:00.000Z,3.381,3.497,3.239,3.337,2944.56660648,79
2022-07-03T00:00:00.000Z,3.296,3.505,3.204,3.336,2382.5029025,79
2022-07-04T00:00:00.000Z,3.337,3.551,3.221,3.548,5468.80618785,88
2022-07-05T00:00:00.000Z,3.537,3.98,3.279,3.427,14151.08071905,183
2022-07-06T00:00:00.000Z,3.419,3.73,3.312,3.507,7849.79530274,105
2022-07-07T00:00:00.000Z,3.516,3.778,3.46,3.72,15665.24189435,134
2022-07-08T00:00:00.000Z,3.693,3.824,3.5,3.62,13640.81494457,131
2022-07-09T00:00:00.000Z,3.675,3.989,3.654,3.839,10283.98676846,162
2022-07-10T00:00:00.000Z,3.835,3.835,3.54,3.643,11977.50486915,148
2022-07-11T00:00:00.000Z,3.662,3.95,3.229,3.315,27654.32132225,593
2022-07-12T00:00:00.000Z,3.315,3.462,3.225,3.323,5797.87728982,256
2022-07-13T00:00:00.000Z,3.323,3.538,3.1,3.316,13959.14913115,557
2022-07-14T00:00:00.000Z,3.333,3.532,3.234,3.488,14967.75875842,229
2022-07-15T00:00:00.000Z,3.451,3.616,3.45,3.508,29711.48887511,231
2022-07-16T00:00:00.000Z,3.492,3.683,3.384,3.642,23402.10659399,208
2022-07-17T00:00:00.000Z,3.683,3.758,3.523,3.523,19697.38715114,143
2022-07-18T00:00:00.000Z,3.542,4.104,3.542,4.082,73413.85100225,363
2022-07-19T00:00:00.000Z,4.096,4.646,4.096,4.549,73499.36704797,514
2022-07-20T00:00:00.000Z,4.529,4.8,4.157,4.192,34739.37115221,321
2022-07-21T00:00:00.000Z,4.211,4.498,4.028,4.401,48154.13622123,297
2022-07-22T00:00:00.000Z,4.369,4.8,4.285,4.321,53292.21104079,415
