time,open,high,low,close,volume,trades
2017-05-18T00:00:00.000Z,0.357,0.382273,0.296296,0.372797,2218227.02907546,1083
2017-05-19T00:00:00.000Z,0.371779,0.371779,0.28,0.320106,10608448.69994588,6224
2017-05-20T00:00:00.000Z,0.329228,0.37,0.290128,0.344005,8184247.951499944,4719
2017-05-21T00:00:00.000Z,0.344012,0.363981,0.32,0.323489,4263754.421443302,3329
2017-05-22T00:00:00.000Z,0.323491,0.335134,0.2215,0.30306,14361864.50106601,8228
2017-05-23T00:00:00.000Z,0.295898,0.349,0.280003,0.322223,6275660.617561364,5524
2017-05-24T00:00:00.000Z,0.322183,0.33,0.2799,0.289,9604222.24465276,6109
2017-05-25T00:00:00.000Z,0.289,0.305,0.21375,0.23706,13743979.785744544,8604
2017-05-26T00:00:00.000Z,0.241859,0.33,0.237242,0.264547,11191174.474050287,7586
2017-05-27T00:00:00.000Z,0.269097,0.289962,0.132,0.208338,16670684.27365166,8993
2017-05-28T00:00:00.000Z,0.208313,0.249933,0.2,0.225,7099371.238298061,5672
2017-05-29T00:00:00.000Z,0.225001,0.243925,0.200002,0.230935,4193996.508465157,4425
2017-05-30T00:00:00.000Z,0.230911,0.235197,0.1856,0.201951,8721491.661294093,5204
2017-05-31T00:00:00.000Z,0.201876,0.254079,0.185602,0.249367,9568836.044952145,5605
2017-06-01T00:00:00.000Z,0.246133,0.342,0.246133,0.334991,20021593.40592764,10226
2017-06-02T00:00:00.000Z,0.334989,0.337993,0.272351,0.293502,12386030.921154952,6643
2017-06-03T00:00:00.000Z,0.2935,0.309236,0.270169,0.29218,4033710.4848482814,4094
2017-06-04T00:00:00.000Z,0.290267,0.310238,0.270007,0.292552,5641416.984650351,4231
2017-06-05T00:00:00.000Z,0.292572,0.298958,0.284,0.290406,3677031.6592231686,2849
2017-06-06T00:00:00.000Z,0.29,0.2945,0.2725,0.283998,5678250.826677742,4766
2017-06-07T00:00:00.000Z,0.282044,0.299987,0.273325,0.276152,6719629.248690965,4744
2017-06-08T00:00:00.000Z,0.276118,0.298,0.270551,0.287996,2809750.4980872143,2600
2017-06-09T00:00:00.000Z,0.287962,0.296871,0.2686,0.281727,4268499.653484553,2847
2017-06-10T00:00:00.000Z,0.2815,0.285136,0.248,0.253943,8691622.758771582,4952
2017-06-11T00:00:00.000Z,0.253455,0.273132,0.248,0.265691,3130398.40220698,3499
2017-06-12T00:00:00.000Z,0.26678,0.279108,0.225001,0.237751,7817649.047972526,4887
2017-06-13T00:00:00.000Z,0.24021,0.276301,0.237349,0.260004,3018018.593870138,3307
2017-06-14T00:00:00.000Z,0.263726,0.305,0.241003,0.261026,12296493.895855092,7584
2017-06-15T00:00:00.000Z,0.260427,0.264678,0.201,0.246577,8351759.473448636,6641
2017-06-16T00:00:00.000Z,0.244287,0.258952,0.23,0.249997,4240616.513725411,4107
2017-06-17T00:00:00.000Z,0.249973,0.265,0.234375,0.2609,3840527.6642365777,4526
2017-06-18T00:00:00.000Z,0.2609,0.279298,0.24678,0.264066,5918556.059883736,4624
2017-06-19T00:00:00.000Z,0.265525,0.28,0.26,0.277698,3747274.3031461537,3097
2017-06-20T00:00:00.000Z,0.279999,0.321663,0.274981,0.302422,11766715.219328178,7836
2017-06-21T00:00:00.000Z,0.303306,0.30993,0.25123,0.273128,5408641.768226754,6369
2017-06-22T00:00:00.000Z,0.271659,0.28,0.26,0.272,4701276.377517505,3683
2017-06-23T00:00:00.000Z,0.275375,0.294999,0.272001,0.293598,2605279.2779112225,2841
2017-06-24T00:00:00.000Z,0.292576,0.302911,0.263,0.277568,3558463.6991208536,3571
2017-06-25T00:00:00.000Z,0.276636,0.280001,0.243,0.255153,5805123.567280646,3277
2017-06-26T00:00:00.000Z,0.257891,0.264687,0.21,0.243982,8424862.134816773,3960
2017-06-27T00:00:00.000Z,0.24616,0.260999,0.22,0.260999,5344566.631086902,3090
2017-06-28T00:00:00.000Z,0.260323,0.269999,0.246384,0.268999,4298943.340889409,2938
2017-06-29T00:00:00.000Z,0.269697,0.269999,0.25,0.257784,2600540.2231559856,2959
2017-06-30T00:00:00.000Z,0.257771,0.259973,0.243633,0.244035,3011724.9635771173,2561
2017-07-01T00:00:00.000Z,0.246792,0.249998,0.227,0.236885,3003338.3457182087,1922
2017-07-02T00:00:00.000Z,0.235004,0.2553,0.2275,0.254533,3805208.0202875617,1862
2017-07-03T00:00:00.000Z,0.252266,0.256573,0.245,0.252402,4215987.481793495,1800
2017-07-04T00:00:00.000Z,0.252402,0.257996,0.2461,0.247021,3752072.642404677,2097
2017-07-05T00:00:00.000Z,0.248073,0.257419,0.243016,0.252998,3494546.925426075,1881
